__quarterly__,y,y_tnd,y_gap,ad_y,d4_y,ad_y_tnd,d4_y_tnd,cpi,ad_cpi,d4_cpi,ad_cpi_ste,rs,rs_unc,mpr,rrs,rrs_tnd,rrs_gap,obs_y,obs_rs,obs_cpi,shk_ad_y_tnd,shk_y_gap,shk_ad_cpi,shk_ad_cpi_ste,shk_rs,shk_rrs_tnd,ant_shk_ad_y_tnd,ant_shk_y_gap,ant_shk_ad_cpi,ant_shk_ad_cpi_ste,ant_shk_rs,ant_shk_rrs_tnd,shk_obs_y,shk_obs_cpi,shk_obs_rs,filter_span,,__unknown__,obs_ad_y,obs_y_gap,obs_ad_cpi,std_shk_ad_y_tnd,std_shk_y_gap,std_shk_ad_cpi,std_shk_ad_cpi_ste,std_shk_rs,std_shk_rrs_tnd,std_shk_obs_y,std_shk_obs_cpi,std_shk_obs_rs,
2012-Q3,976.822036858282,976.84232335974,-0.020286501457,0.575697505934,2.541149866138,1.444536065991,2.209566403663,543.738776551434,1.80181663399,1.670823391444,1.848243197355,0.103333333333,0.103333333333,-0.542347690395,-1.742622956441,-0.775050445364,-0.967572511078,976.822036858282,0.103333333333,543.738776551434,-0.580240902607,-0.264736106484,0.508201684679,0.002286907581,-0.326079744069,-0.034926105409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2012-Q4,976.937610599857,977.234539777639,-0.296929177782,0.462294966286,1.539933926566,1.568865671584,1.903909712216,544.401527932776,2.651005525361,1.8856766696,2.542885068021,0.086666666667,0.086666666667,1.963357163403,-2.453764096792,-0.76959235098,-1.684171745812,976.937610599857,0.086666666667,544.401527932776,0.121556408892,-0.450131476271,0.545401013836,0.002454304562,-0.981672624184,-0.033294427884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2013-Q1,977.919336526409,977.829364911272,0.089971615138,3.926903706197,1.686565671238,2.379300534521,1.86127477029,544.802676992004,1.604596236907,1.725233762995,1.696571630744,0.086666666667,0.086666666667,-1.055980868947,-1.612721564466,-0.755275021361,-0.857446543104,977.919336526409,0.086666666667,544.802676992004,0.813878146515,0.226923844162,-0.62591119739,-0.002816600388,-0.214338116097,-0.02416228793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2013-Q2,978.186615352922,978.386960355421,-0.2003450025,1.069115306039,1.508502871119,2.230381776589,1.905771012175,544.693131837467,-0.438180618153,1.404809444526,-0.215049449607,0.05,0.05,-8.118371108944,0.259631891526,-0.742035141515,1.001667033041,978.186615352922,0.05,544.693131837467,-0.104953731207,-0.16765701055,-1.203901795878,-0.005417558081,1.514592777235,-0.024523871222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2013-Q3,979.034405008172,978.956478155609,0.077926852563,3.391158620989,2.212368149883,2.278071200739,2.114154795862,545.232517902738,2.157544261079,1.493741351298,2.206044463392,0.033333333333,0.033333333333,0.792921735382,-2.166419990977,-0.719012967681,-1.447407023295,979.034405008172,0.033333333333,545.232517902738,0.084208512979,0.083444902107,1.39803090728,0.006291139083,-0.702397100513,-0.014079583241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2013-Q4,979.902369031998,979.578846227584,0.323522804414,3.471856095292,2.964758432134,2.48947228789,2.344306449938,545.601603054336,1.476340606386,1.200075121554,1.646666140509,0.063333333333,0.063333333333,-1.189569182989,-1.58550928069,-0.712340255993,-0.873169024697,979.902369031998,0.063333333333,545.601603054336,0.250304647187,0.177760762521,-0.483660780878,-0.002176473514,-0.16427437092,-0.029277936695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2014-Q1,979.556676217032,980.099107136321,-0.542430919289,-1.382771259876,1.637339690616,2.081043634937,2.269742225042,546.222458193086,2.483420554994,1.419781201076,2.337487370836,0.046666666667,0.046666666667,1.178293751796,-2.287788572685,-0.706913048419,-1.580875524267,979.556676217032,0.046666666667,546.222458193086,-0.358955038559,-0.943160575027,0.673806996535,0.003032131484,-0.795406771282,-0.030189805225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2014-Q2,980.840245239947,980.948093314754,-0.107848074807,5.134276091649,2.653629887018,3.395944713724,2.561132959326,546.752131807763,2.118694458703,2.05899997029,2.119812779347,0.033333333333,0.033333333333,0.476527062622,-2.087335876068,-0.680394332513,-1.406941543555,980.840245239947,0.033333333333,546.752131807763,1.343953260533,0.158280960303,-0.190317789769,-0.000856430054,-0.620798432323,-0.008826936515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2014-Q3,982.048310072526,981.8718428383,0.176467234226,4.832259330305,3.013905064347,3.694998094172,2.915364682684,547.007639124299,1.022029266138,1.775121221555,1.20623670145,0.026666666667,0.026666666667,-2.816636648345,-1.182736711447,-0.655834687687,-0.52690202376,982.048310072526,0.026666666667,547.007639124299,0.393850616134,0.204663087954,-0.703705925224,-0.003166676664,0.205825828753,-0.009460071799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2014-Q4,982.552768674069,982.652710693424,-0.099942019355,2.017834406159,2.650399642064,3.123471420484,3.073864465833,546.7588862731,-0.995011404798,1.157283218759,-0.679296209822,0.023333333333,0.023333333333,-9.782434197897,0.697043018132,-0.632230890759,1.329273908891,982.552768674069,0.023333333333,546.758886273101,-0.46177676898,-0.099365054137,-1.241450004818,-0.005586525022,1.948941882806,-0.009187937456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
