__quarterly__,y,cpi,rs,
1965-Q1,838.071139348044,344.329855768079,3.89,
1965-Q2,839.326694985088,344.967003511293,3.873333333333,
1965-Q3,841.525503502269,345.262955529443,3.866666666667,
1965-Q4,843.80326611764,345.78927253387,4.166666666667,
1966-Q1,846.207955617912,346.71931737977,4.61,
1966-Q2,846.548844397244,347.620177730508,4.586666666667,
1966-Q3,847.392111456069,348.482340517398,5.043333333333,
1966-Q4,848.209167869588,349.296594380051,5.21,
1967-Q1,849.091061049586,349.549694996056,4.513333333333,
1967-Q2,849.152393706652,350.154535549644,3.66,
1967-Q3,850.094022461429,351.154543883102,4.3,
1967-Q4,850.845048509096,352.243124647627,4.753333333333,
1968-Q1,852.86380484729,353.222564406856,5.05,
1968-Q2,854.520380554153,354.192504115727,5.52,
1968-Q3,855.291915118027,355.534806148941,5.196666666667,
1968-Q4,855.683919873452,356.765299667979,5.586666666667,
1969-Q1,857.236239475486,357.980835905957,6.093333333333,
1969-Q2,857.539134232,359.548410651438,6.196666666667,
1969-Q3,858.196918435515,360.911448564507,7.023333333333,
1969-Q4,857.707513751732,362.434093297637,7.353333333333,
1970-Q1,857.558511084194,364.021428213266,7.21,
1970-Q2,857.700129173441,365.41154616776,6.676666666667,
1970-Q3,858.617376949429,366.441598193556,6.326666666667,
1970-Q4,857.540021083269,367.882911826044,5.353333333333,
1971-Q1,860.219937601735,368.721139701324,3.84,
1971-Q2,860.759297127949,369.635146895264,4.25,
1971-Q3,861.578380289798,370.622809244855,5.01,
1971-Q4,861.812969555017,371.357206670431,4.23,
1972-Q1,863.633512557391,372.166927693693,3.436666666667,
1972-Q2,865.877434758329,372.810016726722,3.77,
1972-Q3,866.817095715691,373.608105559823,4.22,
1972-Q4,868.477667438493,374.63618895273,4.863333333333,
1973-Q1,870.922478616893,376.197500918449,5.7,
1973-Q2,872.005337909907,378.26733334003,6.603333333333,
1973-Q3,871.478112185553,380.220813942094,8.323333333333,
1973-Q4,872.422866138671,382.719106991145,7.5,
1974-Q1,871.559444090558,385.651029549789,7.616666666667,
1974-Q2,871.796859048768,388.293742453305,8.153333333333,
1974-Q3,870.847085561404,391.068878241501,8.19,
1974-Q4,870.457923535122,394.093434892257,7.36,
1975-Q1,869.232815305208,396.208220530088,5.75,
1975-Q2,869.94497460976,397.40583963476,5.393333333333,
1975-Q3,871.642528895607,399.391016490033,6.33,
1975-Q4,872.980629164007,401.216995403308,5.626666666667,
1976-Q1,875.205169394272,402.356438016105,4.916666666667,
1976-Q2,875.935867320529,403.246915850401,5.156666666667,
1976-Q3,876.481782075384,404.830062372069,5.15,
1976-Q4,877.201787376241,406.273922280677,4.673333333333,
1977-Q1,878.381039928542,408.092154188996,4.63,
1977-Q2,880.304348718904,409.822590893007,4.84,
1977-Q3,882.091449493444,411.196616357192,5.496666666667,
1977-Q4,882.093442253231,412.659660605929,6.11,
1978-Q1,882.412773985872,414.36636869963,6.393333333333,
1978-Q2,886.204734428124,416.614829435108,6.476666666667,
1978-Q3,887.205459187866,418.914956394041,7.313333333333,
1978-Q4,888.540631382151,421.212759787848,8.57,
1979-Q1,888.72006411908,423.700086262362,9.383333333333,
1979-Q2,888.826752475034,426.829786934554,9.376666666667,
1979-Q3,889.566811954632,430.000279919529,9.673333333333,
1979-Q4,889.816545031333,433.117184062223,11.843333333333,
1980-Q1,890.130622445376,436.986970440325,13.353333333333,
1980-Q2,888.048664462219,440.305400186596,9.616666666667,
1980-Q3,887.929739024156,442.164790861762,9.153333333333,
1980-Q4,889.777485872749,444.929579920898,13.613333333333,
1981-Q1,891.717958540785,447.65789516151,14.39,
1981-Q2,890.97412322575,449.721371114944,14.906666666667,
1981-Q3,892.164511976442,452.46829350754,15.053333333333,
1981-Q4,891.068935664419,454.08094268277,11.75,
1982-Q1,889.503095481728,454.965747605783,12.813333333333,
1982-Q2,889.958235275866,456.400090895002,12.42,
1982-Q3,889.575235933061,458.121896516558,9.316666666667,
1982-Q4,889.615236719642,458.428697507167,7.906666666667,
1983-Q1,890.924419807141,458.496747867057,8.106666666667,
1983-Q2,893.174436261632,459.646574535794,8.396666666667,
1983-Q3,895.153674092315,460.616968632117,9.14,
1983-Q4,897.218393919715,461.611012602643,8.8,
1984-Q1,899.154323629772,463.018794896338,9.17,
1984-Q2,900.867329139832,463.957161270542,9.796666666667,
1984-Q3,901.82672225793,464.822967544854,10.32,
1984-Q4,902.644145179845,465.681341913993,8.803333333333,
1985-Q1,903.60845991146,466.595165824795,8.183333333333,
1985-Q2,904.485079918946,467.500714557687,7.46,
1985-Q3,906.000805956328,468.120487226409,7.106666666667,
1985-Q4,906.741505139198,469.134788222914,7.166666666667,
1986-Q1,907.670920294559,469.653319200206,6.896666666667,
1986-Q2,908.120205849066,469.165364587623,6.14,
1986-Q3,909.072326794417,469.774936728118,5.523333333333,
1986-Q4,909.607286211128,470.471381632435,5.353333333333,
1987-Q1,910.346393010482,471.6711560721,5.536666666667,
1987-Q2,911.418799762557,472.797761524964,5.656666666667,
1987-Q3,912.282239395865,473.853489805552,6.043333333333,
1987-Q4,913.98462312912,474.782648638961,5.863333333333,
1988-Q1,914.500174417196,475.55996650135,5.723333333333,
1988-Q2,915.805648184748,476.70055485739,6.21,
1988-Q3,916.389907705226,477.912349311153,7.01,
1988-Q4,917.713564642629,478.998862298063,7.726666666667,
1989-Q1,918.72482903525,480.128506491438,8.54,
1989-Q2,919.485031815285,481.732019582744,8.41,
1989-Q3,920.223037466994,482.510860635335,7.843333333333,
1989-Q4,920.41982476909,483.522314560324,7.653333333333,
1990-Q1,921.506778015299,485.229064668375,7.76,
1990-Q2,921.869090898983,486.213528577781,7.746666666667,
1990-Q3,921.935650422545,487.92603049204,7.476666666667,
1990-Q4,921.021076357738,489.609698860476,6.99,
1991-Q1,920.552037442887,490.354488797862,6.023333333333,
1991-Q2,921.328702632293,490.946352424507,5.56,
1991-Q3,921.832788667634,491.705694713669,5.376666666667,
1991-Q4,922.180727502445,492.531944857737,4.54,
1992-Q1,923.370869344587,493.207297159315,3.893333333333,
1992-Q2,924.449336203858,493.973584433872,3.68,
1992-Q3,925.432596503733,494.734044372394,3.083333333333,
1992-Q4,926.470051876064,495.606177183776,3.07,
1993-Q1,926.63685640227,496.331072208843,2.96,
1993-Q2,927.217339279613,497.050750300548,2.966666666667,
1993-Q3,927.693359327089,497.512325087267,3.003333333333,
1993-Q4,929.044341629097,498.337828513924,3.06,
1994-Q1,930.010026832355,498.838968514894,3.243333333333,
1994-Q2,931.356108989889,499.405413894884,3.986666666667,
1994-Q3,931.93899147983,500.327493968996,4.476666666667,
1994-Q4,933.078049666508,500.9078527408,5.28,
1995-Q1,933.43220231259,501.639644453133,5.736666666667,
1995-Q2,933.730081059099,502.453819926525,5.596666666667,
1995-Q3,934.577208285169,502.956608175569,5.366666666667,
1995-Q4,935.253994959862,503.500265054455,5.26,
1996-Q1,936.000253632962,504.38551319764,4.93,
1996-Q2,937.654440313853,505.241682811121,5.02,
1996-Q3,938.547474607124,505.815481006423,5.096666666667,
1996-Q4,939.580490112061,506.680556556331,4.976666666667,
1997-Q1,940.223859245869,507.287951868045,5.06,
1997-Q2,941.875364346136,507.517381523383,5.046666666667,
1997-Q3,943.116202978074,508.016135674487,5.046666666667,
1997-Q4,943.966438483011,508.553660226937,5.09,
1998-Q1,944.965187471646,508.759633523238,5.053333333333,
1998-Q2,945.886617119838,509.088310893901,4.976666666667,
1998-Q3,947.137698627532,509.599716324739,4.823333333333,
1998-Q4,948.734084876585,510.067910564219,4.253333333333,
